,Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
4150,Australia and Oceania,Kiribati,Clothes,Online,H,3/2/2016,443871963,432,$107.69,$35.32,$46522.08,$15258.24,$31263.84
4151,Middle East and North Africa,Somalia,Snacks,Offline,M,9/25/2023,269127976,9804,$167.26,$106.82,$1639817.04,$1047263.28,$592553.76
4152,Central America and the Caribbean,Trinidad and Tobago,Fruits,Online,H,2/1/2019,560163104,3565,$9.06,$6.72,$32298.9,$23956.8,$8342.1
4153,Central America and the Caribbean,Costa Rica,Household,Offline,H,10/10/2023,540463674,4066,$632.31,$475.5,$2570972.46,$1933383.0,$637589.46
4154,North America,Mali,Baby Food,Online,H,11/19/2017,403828513,686,$235.67,$147.18,$161669.62,$100965.48,$60704.14
4155,Asia,India,Snacks,Online,M,4/19/2019,864368951,4836,$154.99,$98.98,$749531.64,$478667.28,$270864.36
4156,Europe,Croatia,Clothes,Online,H,1/13/2020,906508815,4958,$117.99,$38.7,$584994.42,$191874.6,$393119.82
4157,Central America and the Caribbean,Saint Lucia,Vegetables,Online,C,9/28/2022,934984433,1526,$147.2,$86.88,$224627.2,$132578.88,$92048.32
4158,Europe,Greece,Cereal,Offline,M,10/10/2019,524844634,2045,$197.33,$112.34,$403539.85,$229735.3,$173804.55
4159,North America,Djibouti,Fruits,Offline,M,9/15/2019,671450746,6052,$9.06,$6.72,$54831.12,$40669.44,$14161.68
4160,Europe,Iceland,Fruits,Online,H,10/21/2020,640476596,112,$9.38,$6.96,$1050.56,$779.52,$271.04
4161,North America,Niger,Cosmetics,Online,H,5/30/2022,217908513,2826,$465.35,$280.28,$1315079.1,$792071.28,$523007.82
4162,Asia,China,Fruits,Online,L,2/20/2023,160045325,9823,$9.76,$7.24,$95872.48,$71118.52,$24753.96
4163,North America,The Gambia,Office Supplies,Offline,M,3/31/2022,843498361,8764,$643.16,$518.47,$5636654.24,$4543871.08,$1092783.16
4164,Middle East and North Africa,Saudi Arabia,Snacks,Online,M,9/9/2020,915191447,4342,$165.45,$105.66,$718383.9,$458775.72,$259608.18
4165,Central America and the Caribbean,Antigua and Barbuda ,Fruits,Online,C,1/26/2020,442360913,3279,$9.38,$6.96,$30757.02,$22821.84,$7935.18
4166,Middle East and North Africa,Israel,Personal Care,Online,C,4/6/2023,462555587,9332,$88.17,$61.14,$822802.44,$570558.48,$252243.96
4167,Europe,Ukraine,Meat,Online,M,8/20/2018,733636796,8286,$391.97,$338.82,$3247863.42,$2807462.52,$440400.9
4168,Europe,Bosnia and Herzegovina,Snacks,Online,L,12/24/2018,183778369,2958,$163.56,$104.45,$483810.48,$308963.1,$174847.38
4169,Middle East and North Africa,Lebanon,Beverages,Online,H,8/1/2022,961466634,8198,$48.07,$32.2,$394077.86,$263975.6,$130102.26
4170,Middle East and North Africa,United Arab Emirates,Meat,Offline,M,6/8/2019,785500419,5884,$394.44,$340.96,$2320884.96,$2006208.64,$314676.32
4171,Europe,Luxembourg,Snacks,Offline,M,4/22/2021,594991052,9929,$142.54,$91.03,$1415279.66,$903836.87,$511442.79
4172,Australia and Oceania,Tonga,Vegetables,Offline,M,7/15/2022,499362361,1274,$147.2,$86.88,$187532.8,$110685.12,$76847.68
4173,Middle East and North Africa,Kuwait,Vegetables,Online,C,9/1/2023,228350675,2894,$141.08,$83.27,$408285.52,$240983.38,$167302.14
4174,Central America and the Caribbean,Saint Vincent and the Grenadines,Baby Food,Offline,M,7/8/2022,482004821,4793,$257.74,$160.95,$1235347.82,$771433.35,$463914.47
4175,North America,Sao Tome and Principe,Office Supplies,Offline,M,5/30/2020,680686128,9006,$699.12,$563.58,$6296274.72,$5075601.48,$1220673.24
4176,North America,Burundi,Clothes,Offline,H,1/29/2021,315068423,4603,$111.52,$36.58,$513326.56,$168377.74,$344948.82
4177,Australia and Oceania,Fiji,Clothes,Online,M,8/11/2016,296138036,2680,$107.69,$35.32,$288609.2,$94657.6,$193951.6
4178,North America,Ghana,Meat,Offline,M,3/26/2022,705193793,1369,$397.98,$344.02,$544834.62,$470963.38,$73871.24
4179,Middle East and North Africa,Somalia,Household,Offline,L,10/21/2016,343847024,830,$725.57,$545.63,$602223.1,$452872.9,$149350.2
4180,North America,Mauritania,Cosmetics,Offline,H,11/23/2019,784021556,8256,$460.68,$277.47,$3803374.08,$2290792.32,$1512581.76
4181,North America,Mozambique,Office Supplies,Offline,M,11/7/2023,517953717,2870,$618.24,$498.38,$1774348.8,$1430350.6,$343998.2
4182,Asia,Bhutan,Cosmetics,Online,L,11/13/2017,808192336,927,$439.75,$264.87,$407648.25,$245534.49,$162113.76
4183,Australia and Oceania,Tonga,Clothes,Offline,H,5/9/2019,737598741,713,$107.81,$35.36,$76868.53,$25211.68,$51656.85
4184,North America,Guinea,Clothes,Online,M,11/6/2019,359346759,7546,$107.81,$35.36,$813534.26,$266826.56,$546707.7
4185,Europe,Albania,Office Supplies,Online,H,7/13/2023,246922719,8775,$618.24,$498.38,$5425056.0,$4373284.5,$1051771.5
4186,North America,Lesotho,Cereal,Online,H,4/14/2016,144125449,8778,$201.4,$114.66,$1767889.2,$1006485.48,$761403.72
4187,Europe,Slovakia,Snacks,Offline,L,10/10/2019,315066277,3968,$154.99,$98.98,$615000.32,$392752.64,$222247.68
4188,Australia and Oceania,Papua New Guinea,Beverages,Online,C,3/25/2022,194169032,7786,$48.07,$32.2,$374273.02,$250709.2,$123563.82
4189,North America,Cameroon,Cosmetics,Offline,L,7/7/2022,636170041,5707,$465.35,$280.28,$2655752.45,$1599557.96,$1056194.49
4190,Europe,Sweden,Household,Offline,C,10/9/2016,766118133,235,$725.57,$545.63,$170508.95,$128223.05,$42285.9
4191,Middle East and North Africa,Bahrain,Fruits,Offline,M,5/11/2017,229374635,5906,$9.88,$7.33,$58351.28,$43290.98,$15060.3
4192,North America,Mauritania,Household,Online,C,10/3/2018,541613376,4289,$713.1,$536.25,$3058485.9,$2299976.25,$758509.65
4193,Europe,Russia,Clothes,Offline,L,7/9/2016,138820683,8980,$107.69,$35.32,$967056.2,$317173.6,$649882.6
4194,Central America and the Caribbean,Belize,Baby Food,Online,H,8/16/2018,227295386,611,$262.74,$164.08,$160534.14,$100252.88,$60281.26
4195,Europe,Luxembourg,Cereal,Online,M,12/18/2018,733648812,1842,$212.12,$120.77,$390725.04,$222458.34,$168266.7
4196,North America,Chad,Office Supplies,Online,H,4/16/2016,754804790,2366,$641.44,$517.08,$1517647.04,$1223411.28,$294235.76
4197,Asia,Indonesia,Vegetables,Offline,L,12/24/2017,807999646,3906,$157.9,$93.19,$616757.4,$364000.14,$252757.26
4198,Europe,Kosovo,Office Supplies,Online,C,2/16/2023,580782210,5217,$618.24,$498.38,$3225358.08,$2600048.46,$625309.62
4199,Central America and the Caribbean,Saint Kitts and Nevis ,Personal Care,Offline,C,4/25/2016,281013810,7086,$82.74,$57.37,$586295.64,$406523.82,$179771.82
4200,Asia,South Korea,Fruits,Online,C,9/11/2023,186868274,7330,$9.76,$7.24,$71540.8,$53069.2,$18471.6
4201,North America,Kenya,Vegetables,Offline,M,8/12/2018,196831929,5797,$151.37,$89.34,$877491.89,$517903.98,$359587.91
4202,Europe,Hungary,Baby Food,Offline,C,1/1/2016,279703605,9367,$250.04,$156.15,$2342124.68,$1462657.05,$879467.63
4203,Middle East and North Africa,Turkey,Baby Food,Offline,M,4/9/2016,924594628,6952,$250.04,$156.15,$1738278.08,$1085554.8,$652723.28
4204,Middle East and North Africa,Yemen,Office Supplies,Online,C,2/10/2019,890928828,4494,$640.48,$516.31,$2878317.12,$2320297.14,$558019.98
4205,Asia,Tajikistan,Clothes,Online,C,9/18/2017,358442533,9966,$109.51,$35.92,$1091376.66,$357978.72,$733397.94
4206,Australia and Oceania,Australia,Baby Food,Online,M,9/6/2017,477184569,8373,$235.67,$147.18,$1973264.91,$1232338.14,$740926.77
4207,North America,Benin,Personal Care,Online,M,2/14/2018,217516267,6752,$83.41,$57.84,$563184.32,$390535.68,$172648.64
4208,North America,Gabon,Cereal,Online,L,12/24/2022,420111453,9170,$213.22,$121.39,$1955227.4,$1113146.3,$842081.1
4209,Europe,Poland,Baby Food,Offline,H,2/20/2022,645956456,1725,$257.74,$160.95,$444601.5,$277638.75,$166962.75
4210,Europe,Montenegro,Clothes,Offline,M,11/19/2017,526350104,7547,$109.51,$35.92,$826471.97,$271088.24,$555383.73
4211,Europe,Andorra,Meat,Online,L,2/26/2023,212903726,1798,$421.9,$364.7,$758576.2,$655730.6,$102845.6
4212,North America,Zambia,Personal Care,Offline,L,6/12/2017,827541148,6670,$81.65,$56.61,$544605.5,$377588.7,$167016.8
4213,Middle East and North Africa,Jordan,Cosmetics,Online,M,1/12/2016,412498700,6387,$447.9,$269.77,$2860737.3,$1723020.99,$1137716.31
4214,Europe,Finland,Vegetables,Online,C,6/21/2021,680325210,2203,$143.22,$84.53,$315513.66,$186219.59,$129294.07
4215,Europe,Slovenia,Beverages,Online,M,2/3/2017,263882005,7404,$45.51,$30.49,$336956.04,$225747.96,$111208.08
4216,Middle East and North Africa,Algeria,Cereal,Offline,M,12/10/2016,566342914,2308,$201.4,$114.66,$464831.2,$264635.28,$200195.92
4217,North America,Equatorial Guinea,Meat,Online,M,5/29/2023,811194264,9264,$421.9,$364.7,$3908481.6,$3378580.8,$529900.8
4218,Asia,India,Baby Food,Online,C,8/3/2018,292234885,7651,$262.74,$164.08,$2010223.74,$1255376.08,$754847.66
4219,North America,Democratic Republic of the Congo,Fruits,Offline,M,5/15/2020,623576104,8881,$9.38,$6.96,$83303.78,$61811.76,$21492.02
4220,North America,Sudan,Snacks,Online,M,10/4/2020,789641749,1396,$165.45,$105.66,$230968.2,$147501.36,$83466.84
4221,Europe,Slovenia,Fruits,Offline,L,5/28/2022,295168149,5669,$9.98,$7.4,$56576.62,$41950.6,$14626.02
4222,North America,Uganda,Cereal,Offline,M,9/3/2017,515204131,9206,$200.77,$114.3,$1848288.62,$1052245.8,$796042.82
4223,Europe,Greece,Meat,Offline,C,9/12/2022,645111024,1543,$397.98,$344.02,$614083.14,$530822.86,$83260.28
4224,Europe,Switzerland,Baby Food,Offline,M,8/11/2020,850562655,9246,$236.58,$147.74,$2187418.68,$1366004.04,$821414.64
4225,North America,South Sudan,Personal Care,Offline,L,4/26/2018,917545354,915,$83.41,$57.84,$76320.15,$52923.6,$23396.55
4226,Europe,Ireland,Personal Care,Offline,L,1/5/2020,702357947,2179,$80.44,$55.77,$175278.76,$121522.83,$53755.93
4227,North America,Niger,Baby Food,Online,H,5/17/2021,581611764,701,$230.66,$144.04,$161692.66,$100972.04,$60720.62
4228,Europe,Montenegro,Clothes,Online,L,5/13/2021,102230632,1171,$111.52,$36.58,$130589.92,$42835.18,$87754.74
4229,Europe,Armenia,Clothes,Online,L,1/3/2016,231450879,313,$107.69,$35.32,$33706.97,$11055.16,$22651.81
4230,North America,Seychelles ,Beverages,Online,L,4/29/2017,206821334,1884,$45.51,$30.49,$85740.84,$57443.16,$28297.68
4231,Sub-Saharan Africa,Canada,Beverages,Offline,L,9/8/2023,686203324,1667,$43.24,$28.97,$72081.08,$48292.99,$23788.09
4232,Asia,Malaysia,Office Supplies,Online,L,9/27/2020,597770678,2482,$699.12,$563.58,$1735215.84,$1398805.56,$336410.28
4233,Asia,Thailand,Baby Food,Offline,C,5/3/2022,290009725,9177,$257.74,$160.95,$2365279.98,$1477038.15,$888241.83
4234,North America,Ethiopia,Fruits,Online,H,6/22/2016,181719291,3631,$8.62,$6.39,$31299.22,$23202.09,$8097.13
4235,North America,South Africa,Meat,Online,L,12/3/2016,312010705,9756,$452.67,$391.29,$4416248.52,$3817425.24,$598823.28
4236,North America,Mauritius ,Fruits,Online,M,8/4/2019,790307796,8494,$9.06,$6.72,$76955.64,$57079.68,$19875.96
4237,North America,Mauritania,Meat,Offline,C,6/14/2023,446346890,2819,$421.9,$364.7,$1189336.1,$1028089.3,$161246.8
4238,Europe,Poland,Clothes,Online,M,10/1/2016,880176818,2735,$107.69,$35.32,$294532.15,$96600.2,$197931.95
4239,Middle East and North Africa,Tunisia ,Baby Food,Offline,M,7/9/2021,612158906,279,$230.66,$144.04,$64354.14,$40187.16,$24166.98
4240,Asia,Mongolia,Fruits,Online,C,3/20/2019,932966983,4518,$9.06,$6.72,$40933.08,$30360.96,$10572.12
4241,North America,Equatorial Guinea,Meat,Online,H,3/18/2020,953587377,6550,$397.31,$343.45,$2602380.5,$2249597.5,$352783.0
4242,Europe,Italy,Clothes,Online,H,6/10/2017,755318915,4507,$109.51,$35.92,$493561.57,$161891.44,$331670.13
4243,Asia,Maldives,Personal Care,Online,C,1/20/2018,939772927,8548,$83.41,$57.84,$712988.68,$494416.32,$218572.36
4244,Europe,Andorra,Beverages,Online,H,11/25/2018,378873240,5866,$51.81,$34.71,$303917.46,$203608.86,$100308.6
4245,Europe,Cyprus,Fruits,Online,L,11/27/2017,264856183,5685,$9.88,$7.33,$56167.8,$41671.05,$14496.75
4246,Australia and Oceania,Marshall Islands,Vegetables,Offline,C,11/1/2017,960270583,4260,$157.9,$93.19,$672654.0,$396989.4,$275664.6
4247,North America,Ghana,Office Supplies,Offline,L,7/10/2022,647977769,9876,$643.16,$518.47,$6351848.16,$5120409.72,$1231438.44
4248,North America,Malawi,Fruits,Offline,H,12/9/2017,281151568,7852,$9.88,$7.33,$77577.76,$57555.16,$20022.6
4249,Australia and Oceania,Palau,Snacks,Online,H,5/27/2023,433278310,5535,$167.26,$106.82,$925784.1,$591248.7,$334535.4
4250,Sub-Saharan Africa,Greenland,Clothes,Offline,M,3/25/2017,848156821,7306,$109.51,$35.92,$800080.06,$262431.52,$537648.54
4251,North America,Republic of the Congo,Snacks,Offline,M,1/30/2023,889898431,9576,$167.26,$106.82,$1601681.76,$1022908.32,$578773.44
4252,Asia,Laos,Personal Care,Online,C,3/10/2021,892926967,5787,$75.85,$52.6,$438943.95,$304396.2,$134547.75
4253,Asia,Laos,Household,Online,C,6/1/2022,811978757,1413,$685.69,$515.64,$968879.97,$728599.32,$240280.65
4254,Central America and the Caribbean,Belize,Fruits,Offline,C,6/24/2022,672102630,8959,$9.98,$7.4,$89410.82,$66296.6,$23114.22
4255,Europe,Czech Republic,Cereal,Online,C,8/2/2020,118659913,2960,$191.0,$108.74,$565360.0,$321870.4,$243489.6
4256,Europe,San Marino,Baby Food,Online,L,10/18/2018,667324435,4985,$262.74,$164.08,$1309758.9,$817938.8,$491820.1
4257,Asia,Kazakhstan,Clothes,Online,C,3/28/2020,754082524,8631,$117.99,$38.7,$1018371.69,$334019.7,$684351.99
4258,Europe,Poland,Baby Food,Online,C,9/26/2017,685233008,4529,$235.67,$147.18,$1067349.43,$666578.22,$400771.21
4259,Asia,Cambodia,Cosmetics,Offline,C,5/1/2020,387387216,5341,$444.24,$267.57,$2372685.84,$1429091.37,$943594.47
4260,Europe,Monaco,Beverages,Online,H,3/14/2019,757468974,757,$47.12,$31.57,$35669.84,$23898.49,$11771.35
4261,Europe,Belgium,Meat,Online,H,9/23/2023,512714612,2502,$421.9,$364.7,$1055593.8,$912479.4,$143114.4
4262,Central America and the Caribbean,Dominican Republic,Vegetables,Online,H,6/6/2017,240672957,9331,$157.9,$93.19,$1473364.9,$869555.89,$603809.01
4263,Middle East and North Africa,Jordan,Personal Care,Online,L,8/8/2019,149205338,2030,$88.84,$61.6,$180345.2,$125048.0,$55297.2
4264,Europe,Georgia,Meat,Offline,M,2/11/2016,516485583,8416,$452.67,$391.29,$3809670.72,$3293096.64,$516574.08
4265,Middle East and North Africa,Somalia,Baby Food,Offline,L,8/9/2018,341000020,8339,$262.74,$164.08,$2190988.86,$1368263.12,$822725.74
4266,Europe,Kosovo,Vegetables,Online,H,11/7/2020,491547477,8676,$167.61,$98.93,$1454184.36,$858316.68,$595867.68
4267,Middle East and North Africa,Syria,Vegetables,Offline,M,9/11/2017,557239282,8341,$157.9,$93.19,$1317043.9,$777297.79,$539746.11
4268,Central America and the Caribbean,Panama,Snacks,Offline,C,5/27/2016,197499263,3276,$141.5,$90.37,$463554.0,$296052.12,$167501.88
4269,Middle East and North Africa,Yemen,Personal Care,Offline,L,9/25/2017,492063748,1453,$81.65,$56.61,$118637.45,$82254.33,$36383.12
4270,Middle East and North Africa,Turkey,Vegetables,Online,H,9/20/2019,790981566,7878,$158.59,$93.61,$1249372.02,$737459.58,$511912.44
4271,Central America and the Caribbean,El Salvador,Household,Offline,C,6/20/2023,964614045,9587,$632.31,$475.5,$6061955.97,$4558618.5,$1503337.47
4272,North America,Burundi,Fruits,Offline,H,5/10/2019,953635013,647,$9.06,$6.72,$5861.82,$4347.84,$1513.98
4273,North America,Liberia,Vegetables,Offline,L,5/26/2018,319030797,7157,$151.37,$89.34,$1083355.09,$639406.38,$443948.71
4274,Central America and the Caribbean,Dominican Republic,Meat,Online,C,11/24/2020,492100226,2247,$397.31,$343.45,$892755.57,$771732.15,$121023.42
4275,Central America and the Caribbean,Saint Vincent and the Grenadines,Beverages,Offline,M,8/21/2022,724454629,1079,$48.07,$32.2,$51867.53,$34743.8,$17123.73
4276,North America,Zambia,Beverages,Offline,M,9/9/2016,338017833,5843,$43.95,$29.44,$256799.85,$172017.92,$84781.93
4277,Middle East and North Africa,Oman,Personal Care,Online,M,11/24/2019,975026166,765,$88.84,$61.6,$67962.6,$47124.0,$20838.6
4278,North America,Mali,Cereal,Online,C,2/7/2016,748028457,7098,$201.4,$114.66,$1429537.2,$813856.68,$615680.52
4279,North America,Malawi,Fruits,Online,L,7/2/2020,989886033,8129,$9.38,$6.96,$76250.02,$56577.84,$19672.18
4280,North America,Democratic Republic of the Congo,Cosmetics,Offline,C,11/2/2022,403772723,4176,$465.35,$280.28,$1943301.6,$1170449.28,$772852.32
4281,Australia and Oceania,Nauru,Meat,Online,H,7/8/2023,913174855,7587,$421.9,$364.7,$3200955.3,$2766978.9,$433976.4
4282,Europe,Bulgaria,Fruits,Offline,C,10/8/2019,911891257,7742,$9.06,$6.72,$70142.52,$52026.24,$18116.28
4283,Europe,Russia,Snacks,Offline,L,11/29/2023,214033257,6052,$167.26,$106.82,$1012257.52,$646474.64,$365782.88
4284,Europe,Ukraine,Cereal,Online,H,12/14/2023,504024684,959,$200.03,$113.88,$191828.77,$109210.92,$82617.85
4285,Europe,Lithuania,Vegetables,Online,L,7/17/2022,386601865,2938,$147.2,$86.88,$432473.6,$255253.44,$177220.16
4286,Europe,Sweden,Cosmetics,Offline,C,1/16/2016,336813628,9492,$447.9,$269.77,$4251466.8,$2560656.84,$1690809.96
4287,Asia,Kyrgyzstan,Beverages,Offline,C,8/4/2018,450021302,159,$51.81,$34.71,$8237.79,$5518.89,$2718.9
4288,North America,Chad,Beverages,Online,L,11/21/2020,891898715,1505,$48.74,$32.65,$73353.7,$49138.25,$24215.45
4289,Australia and Oceania,Solomon Islands,Fruits,Offline,L,4/9/2022,548432195,2129,$9.98,$7.4,$21247.42,$15754.6,$5492.82
4290,North America,Madagascar,Fruits,Offline,H,5/11/2019,175920569,7661,$9.06,$6.72,$69408.66,$51481.92,$17926.74
4291,Australia and Oceania,Papua New Guinea,Clothes,Offline,H,5/28/2017,150975167,5762,$109.51,$35.92,$630996.62,$206971.04,$424025.58
4292,North America,Central African Republic,Beverages,Offline,M,12/9/2018,920519816,1125,$51.81,$34.71,$58286.25,$39048.75,$19237.5
4293,Asia,Maldives,Meat,Online,C,12/28/2019,751790845,472,$394.44,$340.96,$186175.68,$160933.12,$25242.56
4294,Central America and the Caribbean,Dominican Republic,Meat,Online,M,6/8/2023,682337081,7560,$421.9,$364.7,$3189564.0,$2757132.0,$432432.0
4295,Central America and the Caribbean,Haiti,Meat,Online,H,8/22/2017,470019853,8174,$436.35,$377.19,$3566724.9,$3083151.06,$483573.84
4296,North America,Togo,Fruits,Offline,H,12/19/2022,843012988,5132,$9.98,$7.4,$51217.36,$37976.8,$13240.56
4297,Asia,Taiwan,Vegetables,Offline,C,7/25/2022,349802815,3281,$147.2,$86.88,$482963.2,$285053.28,$197909.92
4298,Europe,Belgium,Fruits,Online,C,7/24/2023,309188163,4503,$9.76,$7.24,$43949.28,$32601.72,$11347.56
4299,Europe,Kosovo,Office Supplies,Offline,M,8/1/2018,760280358,2708,$601.4,$484.81,$1628591.2,$1312865.48,$315725.72
4300,North America,Republic of the Congo,Fruits,Online,H,2/13/2017,912503230,8838,$9.88,$7.33,$87319.44,$64782.54,$22536.9
4301,Europe,Slovakia,Beverages,Offline,M,9/15/2023,495593106,5868,$43.24,$28.97,$253732.32,$169995.96,$83736.36
4302,Europe,Cyprus,Clothes,Offline,L,1/9/2019,209598815,3802,$107.81,$35.36,$409893.62,$134438.72,$275454.9
4303,North America,Comoros,Clothes,Offline,L,7/13/2019,374881684,4676,$107.81,$35.36,$504119.56,$165343.36,$338776.2
4304,Sub-Saharan Africa,United States of America,Baby Food,Offline,H,5/26/2021,482115542,7558,$230.66,$144.04,$1743328.28,$1088654.32,$654673.96
4305,Central America and the Caribbean,Guatemala,Meat,Online,M,9/16/2016,542286717,3545,$452.67,$391.29,$1604715.15,$1387123.05,$217592.1
4306,Asia,Laos,Cereal,Online,L,9/9/2020,636694037,769,$191.0,$108.74,$146879.0,$83621.06,$63257.94
4307,Australia and Oceania,Solomon Islands,Personal Care,Offline,H,10/9/2019,466948831,9390,$88.84,$61.6,$834207.6,$578424.0,$255783.6
4308,North America,Mali,Snacks,Offline,L,5/19/2018,704974925,6601,$163.56,$104.45,$1079659.56,$689474.45,$390185.11
4309,North America,Sudan,Fruits,Online,H,1/4/2022,743008649,1625,$9.98,$7.4,$16217.5,$12025.0,$4192.5
4310,Australia and Oceania,Marshall Islands,Household,Offline,L,4/11/2018,943598830,718,$713.1,$536.25,$512005.8,$385027.5,$126978.3
4311,Central America and the Caribbean,Guatemala,Vegetables,Online,L,8/5/2018,389606797,2164,$151.37,$89.34,$327564.68,$193331.76,$134232.92
4312,North America,Togo,Snacks,Online,M,7/2/2016,934206378,1282,$141.5,$90.37,$181403.0,$115854.34,$65548.66
4313,North America,Republic of the Congo,Meat,Online,L,9/30/2023,450883901,5421,$421.9,$364.7,$2287119.9,$1977038.7,$310081.2
4314,Europe,Georgia,Meat,Online,H,8/23/2018,483438193,8959,$391.97,$338.82,$3511659.23,$3035488.38,$476170.85
4315,Australia and Oceania,Vanuatu,Cereal,Online,M,11/10/2022,395980584,8309,$213.22,$121.39,$1771644.98,$1008629.51,$763015.47
4316,Middle East and North Africa,Qatar,Vegetables,Offline,M,1/18/2017,522934901,6913,$157.9,$93.19,$1091562.7,$644222.47,$447340.23
4317,Europe,Switzerland,Vegetables,Online,L,10/15/2022,819037473,244,$147.2,$86.88,$35916.8,$21198.72,$14718.08
4318,North America,Chad,Baby Food,Offline,C,2/1/2023,409337127,807,$271.86,$169.77,$219391.02,$137004.39,$82386.63
4319,Central America and the Caribbean,Antigua and Barbuda ,Cereal,Online,M,9/19/2016,739195191,3139,$201.4,$114.66,$632194.6,$359917.74,$272276.86
4320,Middle East and North Africa,Lebanon,Personal Care,Offline,L,4/24/2019,624285495,8806,$88.84,$61.6,$782325.04,$542449.6,$239875.44
4321,North America,Burkina Faso,Baby Food,Offline,L,11/8/2016,300594365,1407,$250.04,$156.15,$351806.28,$219703.05,$132103.23
4322,Europe,Liechtenstein,Fruits,Offline,H,4/26/2017,974420630,1573,$9.88,$7.33,$15541.24,$11530.09,$4011.15
4323,North America,Cameroon,Personal Care,Online,L,3/3/2022,772375619,1964,$89.69,$62.19,$176151.16,$122141.16,$54010.0
4324,Middle East and North Africa,Qatar,Household,Online,M,8/1/2022,591383159,2273,$685.69,$515.64,$1558573.37,$1172049.72,$386523.65
4325,Central America and the Caribbean,Jamaica,Snacks,Online,H,5/16/2018,948679578,4224,$163.56,$104.45,$690877.44,$441196.8,$249680.64
4326,North America,Senegal,Meat,Online,L,10/10/2023,631813704,6570,$421.9,$364.7,$2771883.0,$2396079.0,$375804.0
4327,North America,Madagascar,Clothes,Online,C,5/13/2021,748646867,99,$111.52,$36.58,$11040.48,$3621.42,$7419.06
4328,North America,Republic of the Congo,Beverages,Online,M,7/31/2018,677352893,2628,$51.81,$34.71,$136156.68,$91217.88,$44938.8
4329,North America,Gabon,Beverages,Offline,M,1/25/2019,316418111,4005,$47.12,$31.57,$188715.6,$126437.85,$62277.75
4330,Europe,Russia,Beverages,Offline,L,8/7/2018,534641349,1111,$51.81,$34.71,$57560.91,$38562.81,$18998.1
4331,Europe,Belgium,Snacks,Online,L,8/5/2019,921133935,2856,$154.99,$98.98,$442651.44,$282686.88,$159964.56
4332,Asia,Kyrgyzstan,Office Supplies,Offline,H,9/28/2023,235319697,5183,$618.24,$498.38,$3204337.92,$2583103.54,$621234.38
4333,Europe,San Marino,Meat,Offline,L,3/23/2018,456934964,6065,$391.97,$338.82,$2377298.05,$2054943.3,$322354.75
4334,Central America and the Caribbean,Saint Vincent and the Grenadines,Beverages,Offline,H,3/25/2022,936028563,507,$48.07,$32.2,$24371.49,$16325.4,$8046.09
4335,Central America and the Caribbean,Dominican Republic,Baby Food,Offline,C,9/19/2017,642961823,5546,$235.67,$147.18,$1307025.82,$816260.28,$490765.54
4336,North America,Burkina Faso,Personal Care,Offline,H,3/15/2016,418408572,5249,$82.74,$57.37,$434302.26,$301135.13,$133167.13
4337,Middle East and North Africa,Jordan,Beverages,Offline,L,9/16/2022,723355138,5715,$48.07,$32.2,$274720.05,$184023.0,$90697.05
4338,North America,Mali,Meat,Online,C,10/24/2016,289100348,72,$452.67,$391.29,$32592.24,$28172.88,$4419.36
4339,Asia,Mongolia,Personal Care,Offline,M,1/9/2017,167255532,3484,$81.65,$56.61,$284468.6,$197229.24,$87239.36
4340,Australia and Oceania,Papua New Guinea,Meat,Online,L,5/28/2016,579744517,8141,$452.67,$391.29,$3685186.47,$3185491.89,$499694.58
4341,Europe,Bulgaria,Fruits,Online,L,8/31/2016,468803632,8267,$8.62,$6.39,$71261.54,$52826.13,$18435.41
4342,Europe,Finland,Baby Food,Online,M,10/13/2016,646981704,5118,$250.04,$156.15,$1279704.72,$799175.7,$480529.02
4343,Middle East and North Africa,Iraq,Household,Online,H,10/22/2016,647140061,1980,$725.57,$545.63,$1436628.6,$1080347.4,$356281.2
4344,Europe,Finland,Vegetables,Online,L,8/22/2023,972452533,9169,$141.08,$83.27,$1293562.52,$763502.63,$530059.89
4345,Middle East and North Africa,Somalia,Household,Offline,M,2/5/2022,846405446,9035,$685.69,$515.64,$6195209.15,$4658807.4,$1536401.75
4346,Central America and the Caribbean,Trinidad and Tobago,Personal Care,Online,H,6/4/2023,462797629,958,$88.17,$61.14,$84466.86,$58572.12,$25894.74
4347,Europe,Austria,Personal Care,Offline,M,5/10/2016,535740411,6348,$82.74,$57.37,$525233.52,$364184.76,$161048.76
4348,Middle East and North Africa,Libya,Meat,Online,H,1/18/2016,949657618,3648,$452.67,$391.29,$1651340.16,$1427425.92,$223914.24
4349,Europe,Ireland,Personal Care,Offline,H,2/26/2021,309285581,3331,$75.85,$52.6,$252656.35,$175210.6,$77445.75
4350,Middle East and North Africa,Egypt,Meat,Online,C,6/17/2022,889673125,2903,$397.98,$344.02,$1155335.94,$998690.06,$156645.88
4351,North America,Mauritius ,Meat,Offline,H,7/13/2022,986181581,1900,$397.98,$344.02,$756162.0,$653638.0,$102524.0
4352,Australia and Oceania,Palau,Baby Food,Offline,M,8/22/2023,764484775,6888,$271.86,$169.77,$1872571.68,$1169375.76,$703195.92
4353,Middle East and North Africa,Afghanistan,Cereal,Online,C,2/15/2019,910569036,6467,$197.33,$112.34,$1276133.11,$726502.78,$549630.33
